"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","02.06.2025","07:45:00","02.06.2025","09:20:00","Ложь","Истина","02.06.2025","07:40:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-3 - ОС Лб DL ПЗПІ-23-3","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ОС Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ПрПА Лб DL ПЗПІ-23-4","02.06.2025","09:30:00","02.06.2025","11:05:00","Ложь","Истина","02.06.2025","09:25:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-3 - Філ Пз DL ПЗПІ-23-3","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","Філ Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","02.06.2025","13:10:00","02.06.2025","14:45:00","Ложь","Истина","02.06.2025","13:05:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ІМ Пз DL ПЗПІ-23-4","03.06.2025","09:30:00","03.06.2025","11:05:00","Ложь","Истина","03.06.2025","09:25:00","2","Обычная","ІМ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","03.06.2025","09:30:00","03.06.2025","11:05:00","Ложь","Истина","03.06.2025","09:25:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-4 - ІМ Пз DL ПЗПІ-23-4","03.06.2025","11:15:00","03.06.2025","12:50:00","Ложь","Истина","03.06.2025","11:10:00","2","Обычная","ІМ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ІМ Пз DL, DL_1 ПЗПІ-23-5","03.06.2025","11:15:00","03.06.2025","12:50:00","Ложь","Истина","03.06.2025","11:10:00","2","Обычная","ІМ Пз DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-4 - Філ Пз DL ПЗПІ-23-4","03.06.2025","13:10:00","03.06.2025","14:45:00","Ложь","Истина","03.06.2025","13:05:00","2","Обычная","Філ Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ФВ Пз DL ПЗПІ-23-5","03.06.2025","13:10:00","03.06.2025","14:45:00","Ложь","Истина","03.06.2025","13:05:00","2","Обычная","ФВ Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","14:55:00","03.06.2025","16:30:00","Ложь","Истина","03.06.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","16:40:00","03.06.2025","18:15:00","Ложь","Истина","03.06.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-3","04.06.2025","07:45:00","04.06.2025","09:20:00","Ложь","Истина","04.06.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3","Обычный"
"ПЗПІ-23-5 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-3","04.06.2025","07:45:00","04.06.2025","09:20:00","Ложь","Истина","04.06.2025","07:40:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3","Обычный"
"ПЗПІ-23-3 - *ВІА Лб DL *ВІА(ПЗПІ-23-)-3","04.06.2025","09:30:00","04.06.2025","11:05:00","Ложь","Истина","04.06.2025","09:25:00","2","Обычная","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3","Обычный"
